conversation_id,persona_id,persona_name,persona_group,persona_volatility,num_turns,avg_drift,total_distance,drift_variance
art_69_8,17,Empathy Driven,balanced,medium,10,0.49472386,4.4525146,0.0110820485
art_69_8,18,Socially Sensitive,balanced,medium,10,0.3286121,2.9575088,0.015147527
art_69_8,19,Cautious Processor,balanced,medium,10,0.012853096,0.11567786,4.035038e-05
art_6_10,0,Stoic Regulator,suppressive,low,10,0.09462505,0.85162544,0.0007014641
art_6_10,1,Calm Reflective,suppressive,low,10,0.21412267,1.927104,0.0048270933
art_6_10,2,Detached Observer,suppressive,low,10,0.0756689,0.68102014,0.0011765724
art_6_10,3,Rational Analyzer,suppressive,low,10,0.09880937,0.8892843,0.0008652709
art_6_10,4,Emotionally Volatile,reactive,high,10,0.505264,4.5473757,0.025782743
art_6_10,5,Highly Sensitive,reactive,high,10,0.52991176,4.769206,0.008860024
art_6_10,6,Easily Overwhelmed,reactive,high,10,0.33974394,3.0576954,0.030421086
art_6_10,7,Impulsive Reactor,reactive,high,10,0.49398434,4.445859,0.011063414
art_6_10,8,Optimistic Interpreter,positive,medium,10,0.9269338,8.342404,0.09237376
art_6_10,9,Gratitude Focused,positive,medium,10,0.48866993,4.3980293,0.0119471075
art_6_10,10,Hope Oriented,positive,medium,10,0.8485935,7.6373415,0.06640151
art_6_10,11,Reward Seeker,positive,medium,10,0.1624205,1.4617845,0.0032550676
art_6_10,12,Negative Anticipator,negative,medium,10,0.6638596,5.9747367,0.030555883
art_6_10,13,Critical Evaluator,negative,medium,10,0.38431323,3.458819,0.0090932185
art_6_10,14,Self Demanding,negative,medium,10,0.28482565,2.5634308,0.008156482
art_6_10,15,Threat Aware,negative,medium,10,0.58769417,5.2892475,0.018768646
art_6_10,16,Emotionally Balanced,balanced,medium,10,0.02790262,0.25112358,0.00013071281
art_6_10,17,Empathy Driven,balanced,medium,10,0.4863788,4.377409,0.009631683
art_6_10,18,Socially Sensitive,balanced,medium,10,0.32802248,2.9522023,0.014014996
art_6_10,19,Cautious Processor,balanced,medium,10,0.011723413,0.10551072,2.8634839e-05
art_70_10,0,Stoic Regulator,suppressive,low,10,0.09173192,0.8255873,0.00062870135
art_70_10,1,Calm Reflective,suppressive,low,10,0.21663398,1.9497058,0.006091867
art_70_10,2,Detached Observer,suppressive,low,10,0.07904385,0.71139467,0.0012023805
art_70_10,3,Rational Analyzer,suppressive,low,10,0.10224455,0.92020094,0.0009781723
art_70_10,4,Emotionally Volatile,reactive,high,10,0.5123818,4.611436,0.028030144
art_70_10,5,Highly Sensitive,reactive,high,10,0.53285056,4.7956553,0.0087255305
art_70_10,6,Easily Overwhelmed,reactive,high,10,0.3491616,3.1424544,0.037506457
art_70_10,7,Impulsive Reactor,reactive,high,10,0.4974092,4.4766827,0.010758408
art_70_10,8,Optimistic Interpreter,positive,medium,10,0.925736,8.331624,0.09506272
art_70_10,9,Gratitude Focused,positive,medium,10,0.49011913,4.4110723,0.012682551
art_70_10,10,Hope Oriented,positive,medium,10,0.8474841,7.627357,0.067956135
art_70_10,11,Reward Seeker,positive,medium,10,0.16415985,1.4774387,0.0035193525
art_70_10,12,Negative Anticipator,negative,medium,10,0.66389626,5.975066,0.03124157
art_70_10,13,Critical Evaluator,negative,medium,10,0.38616958,3.4755263,0.009988908
art_70_10,14,Self Demanding,negative,medium,10,0.28708178,2.583736,0.008971205
art_70_10,15,Threat Aware,negative,medium,10,0.5890207,5.3011866,0.019769058
art_70_10,16,Emotionally Balanced,balanced,medium,10,0.024733523,0.22260171,5.1568484e-05
art_70_10,17,Empathy Driven,balanced,medium,10,0.48000512,4.320046,0.007553672
art_70_10,18,Socially Sensitive,balanced,medium,10,0.33650827,3.0285745,0.017939374
art_70_10,19,Cautious Processor,balanced,medium,10,0.010280704,0.09252634,3.14291e-05
art_73_8,0,Stoic Regulator,suppressive,low,8,0.10560469,0.73923284,0.0005131791
art_73_8,1,Calm Reflective,suppressive,low,8,0.24464665,1.7125266,0.0038042027
art_73_8,2,Detached Observer,suppressive,low,8,0.08472926,0.59310484,0.0008470486
art_73_8,3,Rational Analyzer,suppressive,low,8,0.10823411,0.75763875,0.0003126076
art_73_8,4,Emotionally Volatile,reactive,high,8,0.5717607,4.002325,0.016679702
art_73_8,5,Highly Sensitive,reactive,high,8,0.5699692,3.9897842,0.0046914252
art_73_8,6,Easily Overwhelmed,reactive,high,8,0.3970861,2.7796028,0.032427315
art_73_8,7,Impulsive Reactor,reactive,high,8,0.53976077,3.7783256,0.004671733
art_73_8,8,Optimistic Interpreter,positive,medium,8,1.0397891,7.2785234,0.07869393
art_73_8,9,Gratitude Focused,positive,medium,8,0.5317498,3.7222486,0.0065781064
art_73_8,10,Hope Oriented,positive,medium,8,0.945583,6.619081,0.054015677
art_73_8,11,Reward Seeker,positive,medium,8,0.17930119,1.2551084,0.0016477784
art_73_8,12,Negative Anticipator,negative,medium,8,0.7303729,5.1126103,0.020895597
art_73_8,13,Critical Evaluator,negative,medium,8,0.41958365,2.9370856,0.004937258
art_73_8,14,Self Demanding,negative,medium,8,0.31481788,2.203725,0.004760578
art_73_8,15,Threat Aware,negative,medium,8,0.6420402,4.4942813,0.011358376
art_73_8,16,Emotionally Balanced,balanced,medium,8,0.026024045,0.18216832,0.00016253394
art_73_8,17,Empathy Driven,balanced,medium,8,0.5198619,3.639033,0.0062529775
art_73_8,18,Socially Sensitive,balanced,medium,8,0.37689337,2.6382537,0.011875422
art_73_8,19,Cautious Processor,balanced,medium,8,0.010316494,0.07221546,2.8899532e-05
art_75_8,0,Stoic Regulator,suppressive,low,10,0.090447105,0.814024,0.00041906236
art_75_8,1,Calm Reflective,suppressive,low,10,0.21305606,1.9175045,0.004810041
art_75_8,2,Detached Observer,suppressive,low,10,0.07828645,0.70457804,0.0015701103
art_75_8,3,Rational Analyzer,suppressive,low,10,0.101125166,0.9101265,0.0012833484
art_75_8,4,Emotionally Volatile,reactive,high,10,0.50672126,4.560491,0.027392417
art_75_8,5,Highly Sensitive,reactive,high,10,0.5259616,4.733654,0.010906502
art_75_8,6,Easily Overwhelmed,reactive,high,10,0.34511638,3.1060474,0.03605718
art_75_8,7,Impulsive Reactor,reactive,high,10,0.4908666,4.4177995,0.011928527
art_75_8,8,Optimistic Interpreter,positive,medium,10,0.92608696,8.334783,0.09479097
art_75_8,9,Gratitude Focused,positive,medium,10,0.4869746,4.3827715,0.011515882
art_75_8,10,Hope Oriented,positive,medium,10,0.84637064,7.617336,0.06665916
art_75_8,11,Reward Seeker,positive,medium,10,0.16331927,1.4698734,0.0036116072
art_75_8,12,Negative Anticipator,negative,medium,10,0.66177815,5.956003,0.029990382
art_75_8,13,Critical Evaluator,negative,medium,10,0.3828202,3.4453816,0.008835267
art_75_8,14,Self Demanding,negative,medium,10,0.2843255,2.5589297,0.008151655
art_75_8,15,Threat Aware,negative,medium,10,0.58598113,5.2738304,0.018442878
art_75_8,16,Emotionally Balanced,balanced,medium,10,0.030197442,0.27177697,0.00010686168
art_75_8,17,Empathy Driven,balanced,medium,10,0.47942054,4.314785,0.008783632
art_75_8,18,Socially Sensitive,balanced,medium,10,0.33070067,2.976306,0.01572937
art_75_8,19,Cautious Processor,balanced,medium,10,0.015525714,0.13973142,3.8444745e-05
art_76_9,0,Stoic Regulator,suppressive,low,9,0.10172417,0.81379336,0.00064891204
art_76_9,1,Calm Reflective,suppressive,low,9,0.23425834,1.8740667,0.005189631
art_76_9,2,Detached Observer,suppressive,low,9,0.08009826,0.64078605,0.00092103984
art_76_9,3,Rational Analyzer,suppressive,low,9,0.10335827,0.82686615,0.0006628447
art_76_9,4,Emotionally Volatile,reactive,high,9,0.5459658,4.3677263,0.023929747
art_76_9,5,Highly Sensitive,reactive,high,9,0.557542,4.460336,0.008082032
art_76_9,6,Easily Overwhelmed,reactive,high,9,0.3758244,3.0065951,0.03735847
art_76_9,7,Impulsive Reactor,reactive,high,9,0.52331144,4.1864915,0.008850308
art_76_9,8,Optimistic Interpreter,positive,medium,9,0.98011565,7.840925,0.08480166
art_76_9,9,Gratitude Focused,positive,medium,9,0.5069361,4.0554886,0.008235443
art_76_9,10,Hope Oriented,positive,medium,9,0.8935978,7.1487823,0.05930931
art_76_9,11,Reward Seeker,positive,medium,9,0.17056102,1.3644881,0.0024784212
art_76_9,12,Negative Anticipator,negative,medium,9,0.693444,5.547552,0.024196828
art_76_9,13,Critical Evaluator,negative,medium,9,0.40027344,3.2021875,0.0066169975
art_76_9,14,Self Demanding,negative,medium,9,0.2989335,2.391468,0.0063836565
art_76_9,15,Threat Aware,negative,medium,9,0.61146027,4.891682,0.013953978
art_76_9,16,Emotionally Balanced,balanced,medium,9,0.028657516,0.22926013,7.99176e-05
art_76_9,17,Empathy Driven,balanced,medium,9,0.50708795,4.0567036,0.0075492123
