persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Emotionally Volatile,reactive,high,0.06644233,0.00043245027,0.597981,0.110290706
Highly Sensitive,reactive,high,0.24101321,0.0068456084,2.169119,0.43941545
Easily Overwhelmed,reactive,high,0.021694612,3.224704e-05,0.19525151,0.026550476
Impulsive Reactor,reactive,high,0.23169228,0.0063391444,2.0852306,0.4433067
Optimistic Interpreter,positive,medium,0.12575965,0.0020508296,1.1318368,0.9865302
Gratitude Focused,positive,medium,0.2690984,0.009429093,2.4218855,0.8955416
Hope Oriented,positive,medium,0.19711402,0.0048457216,1.7740262,0.96155053
Reward Seeker,positive,medium,0.35709953,0.016401503,3.2138958,0.7574722
Negative Anticipator,negative,medium,0.1370093,0.0024356605,1.2330836,0.98216563
Critical Evaluator,negative,medium,0.31419283,0.012893572,2.8277354,0.8635934
Self Demanding,negative,medium,0.3362365,0.014691516,3.0261285,0.8129467
Threat Aware,negative,medium,0.1594337,0.0032649476,1.4349033,0.97436404
