persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Stoic Regulator,suppressive,low,0.15685193,0.0031237043,1.4116673,0.9513876
Calm Reflective,suppressive,low,0.16752952,0.0036202301,1.5077658,0.9417706
Detached Observer,suppressive,low,0.12777211,0.0020455115,1.149949,0.9663441
Rational Analyzer,suppressive,low,0.09671945,0.0011862825,0.87047505,0.97745186
Emotionally Volatile,reactive,high,0.06925645,0.00043772784,0.623308,0.110290706
Highly Sensitive,reactive,high,0.24288188,0.006836591,2.185937,0.43941545
Easily Overwhelmed,reactive,high,0.024885636,3.4549266e-05,0.22397073,0.026550476
Impulsive Reactor,reactive,high,0.23355868,0.0063310117,2.1020281,0.4433067
Optimistic Interpreter,positive,medium,0.1255555,0.0020438281,1.1299995,0.9865302
Gratitude Focused,positive,medium,0.26826793,0.009375943,2.4144113,0.8955416
Hope Oriented,positive,medium,0.19661528,0.0048203818,1.7695374,0.96155053
Reward Seeker,positive,medium,0.35615528,0.016334085,3.2053976,0.7574722
Negative Anticipator,negative,medium,0.13674656,0.002425985,1.230719,0.98216563
Critical Evaluator,negative,medium,0.31327942,0.012826927,2.8195148,0.8635934
Self Demanding,negative,medium,0.3352905,0.014622137,3.0176144,0.8129467
Threat Aware,negative,medium,0.15907238,0.0032497314,1.4316515,0.97436404
Emotionally Balanced,balanced,medium,0.16320732,0.0033502046,1.4688659,0.9524554
Empathy Driven,balanced,medium,0.35003334,0.01549203,3.1503,0.6808769
Socially Sensitive,balanced,medium,0.2859865,0.010689186,2.5738785,0.8621408
Cautious Processor,balanced,medium,0.20289177,0.0053504934,1.8260258,0.92540973
Stoic Regulator,suppressive,low,0.15704961,0.003130943,1.4134465,0.9513876
Calm Reflective,suppressive,low,0.16774967,0.0036287517,1.509747,0.9417706
Detached Observer,suppressive,low,0.1279257,0.002050066,1.1513312,0.9663441
Rational Analyzer,suppressive,low,0.09683256,0.0011888419,0.87149304,0.97745186
Emotionally Volatile,reactive,high,0.06370029,0.00040154817,0.57330257,0.110290706
Highly Sensitive,reactive,high,0.23968802,0.0067674983,2.1571922,0.43941545
Easily Overwhelmed,reactive,high,0.018731495,2.3758206e-05,0.16858345,0.026550476
Impulsive Reactor,reactive,high,0.23042744,0.006266578,2.073847,0.4433067
Optimistic Interpreter,positive,medium,0.12563984,0.002046547,1.1307585,0.9865302
Gratitude Focused,positive,medium,0.26852685,0.009390094,2.4167416,0.8955416
Hope Oriented,positive,medium,0.19677511,0.004827369,1.770976,0.96155053
Reward Seeker,positive,medium,0.3562786,0.016328022,3.2065074,0.7574722
Negative Anticipator,negative,medium,0.13684556,0.0024293228,1.2316101,0.98216563
Critical Evaluator,negative,medium,0.3135315,0.012840485,2.8217833,0.8635934
Self Demanding,negative,medium,0.33550414,0.014629174,3.0195372,0.8129467
Threat Aware,negative,medium,0.15919718,0.0032543533,1.4327747,0.97436404
Emotionally Balanced,balanced,medium,0.16339982,0.0033574975,1.4705983,0.9524554
Empathy Driven,balanced,medium,0.34999648,0.015463536,3.1499684,0.6808769
Socially Sensitive,balanced,medium,0.28625363,0.010702647,2.5762827,0.8621408
Cautious Processor,balanced,medium,0.20313793,0.0053616576,1.8282415,0.92540973
Stoic Regulator,suppressive,low,0.15984291,0.0026181182,1.2787433,0.9513876
Calm Reflective,suppressive,low,0.17118025,0.0030455517,1.369442,0.9417706
Detached Observer,suppressive,low,0.13035877,0.0017277377,1.0428702,0.9663441
Rational Analyzer,suppressive,low,0.099169,0.0010121785,0.793352,0.97745186
Emotionally Volatile,reactive,high,0.0745524,0.00048233455,0.5964192,0.110290706
Highly Sensitive,reactive,high,0.27214903,0.007334567,2.1771922,0.43941545
Easily Overwhelmed,reactive,high,0.024557158,3.8329807e-05,0.19645727,0.026550476
Impulsive Reactor,reactive,high,0.26167777,0.0067892326,2.0934222,0.4433067
Optimistic Interpreter,positive,medium,0.1276508,0.0017048352,1.0212064,0.9865302
Gratitude Focused,positive,medium,0.27983588,0.008225713,2.238687,0.8955416
Hope Oriented,positive,medium,0.20369266,0.004223164,1.6295413,0.96155053
Reward Seeker,positive,medium,0.38950765,0.015869949,3.1160612,0.7574722
Negative Anticipator,negative,medium,0.14065354,0.0020725422,1.1252283,0.98216563
Critical Evaluator,negative,medium,0.33113915,0.011571777,2.6491132,0.8635934
Self Demanding,negative,medium,0.36088198,0.0137100145,2.8870559,0.8129467
Threat Aware,negative,medium,0.16500843,0.0028359678,1.3200674,0.97436404
Emotionally Balanced,balanced,medium,0.16652094,0.002818774,1.3321675,0.9524554
Empathy Driven,balanced,medium,0.3889468,0.015645452,3.1115744,0.6808769
Socially Sensitive,balanced,medium,0.30247056,0.009655802,2.4197645,0.8621408
Cautious Processor,balanced,medium,0.2088311,0.0045670774,1.6706488,0.92540973
Stoic Regulator,suppressive,low,0.1571814,0.0031323896,1.4146326,0.9513876
Calm Reflective,suppressive,low,0.16790108,0.0036300467,1.5111097,0.9417706
Detached Observer,suppressive,low,0.12802032,0.0020513248,1.1521828,0.9663441
Rational Analyzer,suppressive,low,0.096895866,0.0011895674,0.8720628,0.97745186
Emotionally Volatile,reactive,high,0.07054111,0.00042461435,0.63487,0.110290706
Highly Sensitive,reactive,high,0.2412666,0.006786488,2.1713994,0.43941545
Easily Overwhelmed,reactive,high,0.027976977,3.1049458e-05,0.2517928,0.026550476
Impulsive Reactor,reactive,high,0.2319564,0.006282967,2.0876076,0.4433067
Optimistic Interpreter,positive,medium,0.12566912,0.0020470275,1.1310221,0.9865302
Gratitude Focused,positive,medium,0.2687986,0.009393356,2.4191873,0.8955416
Hope Oriented,positive,medium,0.19690245,0.004831289,1.772122,0.96155053
Reward Seeker,positive,medium,0.3568181,0.016324464,3.211363,0.7574722
Negative Anticipator,negative,medium,0.13689415,0.0024303268,1.2320473,0.98216563
Critical Evaluator,negative,medium,0.31386992,0.012843585,2.8248293,0.8635934
Self Demanding,negative,medium,0.3359283,0.014628187,3.0233545,0.8129467
Threat Aware,negative,medium,0.15927742,0.003256422,1.4334968,0.97436404
Emotionally Balanced,balanced,medium,0.16353327,0.0033593313,1.4717994,0.9524554
Empathy Driven,balanced,medium,0.35072482,0.015460169,3.1565235,0.6808769
Socially Sensitive,balanced,medium,0.28657636,0.010703286,2.5791872,0.8621408
Cautious Processor,balanced,medium,0.20332962,0.0053634197,1.8299667,0.92540973
Stoic Regulator,suppressive,low,0.16200551,0.0021172822,1.1340386,0.9513876
Calm Reflective,suppressive,low,0.17378782,0.0024652667,1.2165147,0.9417706
Detached Observer,suppressive,low,0.13266268,0.001416137,0.9286388,0.9663441
Rational Analyzer,suppressive,low,0.10146224,0.00083761103,0.71023566,0.97745186
Emotionally Volatile,reactive,high,0.08235942,0.00052588026,0.5765159,0.110290706
Highly Sensitive,reactive,high,0.30883417,0.007761067,2.1618392,0.43941545
Easily Overwhelmed,reactive,high,0.02523212,4.1488107e-05,0.17662483,0.026550476
Impulsive Reactor,reactive,high,0.29686472,0.0071752667,2.078053,0.4433067
Optimistic Interpreter,positive,medium,0.12922026,0.0013738492,0.9045418,0.9865302
Gratitude Focused,positive,medium,0.29027802,0.006951658,2.0319462,0.8955416
Hope Oriented,positive,medium,0.21121578,0.0036104429,1.4785105,0.96155053
Reward Seeker,positive,medium,0.42515263,0.014960353,2.9760685,0.7574722
Negative Anticipator,negative,medium,0.14410508,0.0017112365,1.0087355,0.98216563
Critical Evaluator,negative,medium,0.3483479,0.010072537,2.4384353,0.8635934
Self Demanding,negative,medium,0.38700747,0.012431188,2.7090523,0.8129467
Threat Aware,negative,medium,0.17088981,0.002400649,1.1962286,0.97436404
Emotionally Balanced,balanced,medium,0.16912189,0.0022931942,1.1838533,0.9524554
Empathy Driven,balanced,medium,0.4323406,0.015405569,3.026384,0.6808769
Socially Sensitive,balanced,medium,0.3182915,0.008412254,2.2280405,0.8621408
Cautious Processor,balanced,medium,0.213591,0.003750374,1.495137,0.92540973
Stoic Regulator,suppressive,low,0.16248204,0.0021325606,1.1373743,0.9513876
Calm Reflective,suppressive,low,0.17430733,0.0024835402,1.2201513,0.9417706
Detached Observer,suppressive,low,0.13303603,0.0014257901,0.93125224,0.9663441
Rational Analyzer,suppressive,low,0.1017314,0.00084294047,0.71211976,0.97745186
Emotionally Volatile,reactive,high,0.08357381,0.00049327186,0.58501667,0.110290706
Highly Sensitive,reactive,high,0.30734095,0.0077488003,2.1513867,0.43941545
Easily Overwhelmed,reactive,high,0.025593776,3.105333e-05,0.17915644,0.026550476
Impulsive Reactor,reactive,high,0.29537794,0.007163603,2.0676455,0.4433067
Optimistic Interpreter,positive,medium,0.129431,0.0013791495,0.906017,0.9865302
Gratitude Focused,positive,medium,0.2910056,0.0069975927,2.0370393,0.8955416
Hope Oriented,positive,medium,0.21168566,0.0036299347,1.4817996,0.96155053
Reward Seeker,positive,medium,0.42561838,0.015034435,2.9793286,0.7574722
Negative Anticipator,negative,medium,0.14436464,0.0017185668,1.0105525,0.98216563
Critical Evaluator,negative,medium,0.3491063,0.010134556,2.4437442,0.8635934
Self Demanding,negative,medium,0.38766536,0.012502047,2.7136576,0.8129467
Threat Aware,negative,medium,0.17123379,0.0024122265,1.1986365,0.97436404
Emotionally Balanced,balanced,medium,0.16960509,0.0023092455,1.1872356,0.9524554
Empathy Driven,balanced,medium,0.43241006,0.015465886,3.0268705,0.6808769
Socially Sensitive,balanced,medium,0.31900615,0.008466738,2.233043,0.8621408
Cautious Processor,balanced,medium,0.21419576,0.003777235,1.4993703,0.92540973
Stoic Regulator,suppressive,low,0.15714552,0.0031356835,1.4143096,0.9513876
Calm Reflective,suppressive,low,0.16786271,0.0036348295,1.5107645,0.9417706
Detached Observer,suppressive,low,0.12798935,0.00205265,1.1519042,0.9663441
Rational Analyzer,suppressive,low,0.096871056,0.0011900945,0.8718395,0.97745186
Emotionally Volatile,reactive,high,0.069662094,0.0004672128,0.62695885,0.110290706
Highly Sensitive,reactive,high,0.2429493,0.0069304407,2.1865437,0.43941545
Easily Overwhelmed,reactive,high,0.025356822,4.3322085e-05,0.2282114,0.026550476
Impulsive Reactor,reactive,high,0.23360533,0.006420969,2.102448,0.4433067
Optimistic Interpreter,positive,medium,0.12568551,0.002048395,1.1311697,0.9865302
Gratitude Focused,positive,medium,0.26882893,0.009414604,2.4194603,0.8955416
Hope Oriented,positive,medium,0.1968835,0.004833754,1.7719514,0.96155053
Reward Seeker,positive,medium,0.3572795,0.016428059,3.2155156,0.7574722
Negative Anticipator,negative,medium,0.13689739,0.0024316618,1.2320764,0.98216563
Critical Evaluator,negative,medium,0.31398398,0.012882598,2.8258557,0.8635934
Self Demanding,negative,medium,0.33620083,0.014696564,3.0258076,0.8129467
Threat Aware,negative,medium,0.15926531,0.0032578749,1.4333878,0.97436404
Emotionally Balanced,balanced,medium,0.1635009,0.0033625853,1.4715081,0.9524554
Empathy Driven,balanced,medium,0.35143152,0.015600345,3.1628838,0.6808769
Socially Sensitive,balanced,medium,0.2866869,0.01073952,2.580182,0.8621408
Cautious Processor,balanced,medium,0.20330447,0.0053723054,1.8297402,0.92540973
Stoic Regulator,suppressive,low,0.15706398,0.0031320278,1.4135758,0.9513876
Calm Reflective,suppressive,low,0.16776684,0.0036299704,1.5099015,0.9417706
Detached Observer,suppressive,low,0.1279331,0.0020508133,1.151398,0.9663441
Rational Analyzer,suppressive,low,0.096835285,0.0011892652,0.8715176,0.97745186
Emotionally Volatile,reactive,high,0.06993707,0.0004467009,0.62943363,0.110290706
Highly Sensitive,reactive,high,0.2423343,0.0068488256,2.1810088,0.43941545
Easily Overwhelmed,reactive,high,0.025471807,3.7961578e-05,0.22924626,0.026550476
Impulsive Reactor,reactive,high,0.23300062,0.0063430476,2.0970056,0.4433067
Optimistic Interpreter,positive,medium,0.12564431,0.0020473422,1.1307988,0.9865302
Gratitude Focused,positive,medium,0.2685878,0.009396179,2.4172902,0.8955416
Hope Oriented,positive,medium,0.19679676,0.004830133,1.7711709,0.96155053
Reward Seeker,positive,medium,0.35651672,0.016358092,3.2086504,0.7574722
Negative Anticipator,negative,medium,0.13685152,0.0024303584,1.2316637,0.98216563
Critical Evaluator,negative,medium,0.31362614,0.0128515065,2.8226352,0.8635934
Self Demanding,negative,medium,0.33565566,0.014647519,3.020901,0.8129467
Threat Aware,negative,medium,0.15920693,0.0032559184,1.4328624,0.97436404
Emotionally Balanced,balanced,medium,0.16341609,0.0033588195,1.4707447,0.9524554
Empathy Driven,balanced,medium,0.35039768,0.015511387,3.153579,0.6808769
Socially Sensitive,balanced,medium,0.28634065,0.010711677,2.577066,0.8621408
Cautious Processor,balanced,medium,0.20316608,0.005363922,1.8284948,0.92540973
Stoic Regulator,suppressive,low,0.1573963,0.0031426963,1.4165667,0.9513876
Calm Reflective,suppressive,low,0.16812083,0.0036422168,1.5130875,0.9417706
Detached Observer,suppressive,low,0.12820107,0.0020577686,1.1538095,0.9663441
Rational Analyzer,suppressive,low,0.09702877,0.0011930768,0.87325895,0.97745186
Emotionally Volatile,reactive,high,0.06724621,0.0004334551,0.6052159,0.110290706
Highly Sensitive,reactive,high,0.2416969,0.006853899,2.175272,0.43941545
Easily Overwhelmed,reactive,high,0.024100626,3.2122414e-05,0.21690564,0.026550476
Impulsive Reactor,reactive,high,0.23236097,0.006346314,2.0912488,0.4433067
Optimistic Interpreter,positive,medium,0.1258231,0.0020517402,1.1324079,0.9865302
Gratitude Focused,positive,medium,0.26912788,0.009424642,2.4221509,0.8955416
Hope Oriented,positive,medium,0.19715779,0.004844113,1.77442,0.96155053
Reward Seeker,positive,medium,0.3572081,0.016397675,3.2148728,0.7574722
Negative Anticipator,negative,medium,0.13706036,0.0024360123,1.2335433,0.98216563
Critical Evaluator,negative,medium,0.31423745,0.012887741,2.828137,0.8635934
Self Demanding,negative,medium,0.33629996,0.01468561,3.0266995,0.8129467
Threat Aware,negative,medium,0.159473,0.0032643434,1.435257,0.97436404
Emotionally Balanced,balanced,medium,0.1637608,0.003370232,1.4738472,0.9524554
Empathy Driven,balanced,medium,0.35110387,0.015546227,3.1599348,0.6808769
Socially Sensitive,balanced,medium,0.2868992,0.010742068,2.582093,0.8621408
Cautious Processor,balanced,medium,0.20358464,0.0053812577,1.8322618,0.92540973
Stoic Regulator,suppressive,low,0.16269211,0.002134753,1.1388448,0.9513876
Calm Reflective,suppressive,low,0.17456868,0.0024867887,1.2219808,0.9417706
Detached Observer,suppressive,low,0.13317153,0.001426647,0.93220073,0.9663441
Rational Analyzer,suppressive,low,0.10181953,0.0008432738,0.7127367,0.97745186
Emotionally Volatile,reactive,high,0.086261876,0.00054047,0.60383314,0.110290706
Highly Sensitive,reactive,high,0.3111341,0.007852933,2.1779387,0.43941545
Easily Overwhelmed,reactive,high,0.030899366,4.4969864e-05,0.21629557,0.026550476
Impulsive Reactor,reactive,high,0.29916885,0.007264241,2.094182,0.4433067
Optimistic Interpreter,positive,medium,0.12947813,0.0013790131,0.9063469,0.9865302
Gratitude Focused,positive,medium,0.29151267,0.0070080943,2.0405886,0.8955416
Hope Oriented,positive,medium,0.21182653,0.0036301662,1.4827857,0.96155053
Reward Seeker,positive,medium,0.42712426,0.015087627,2.9898698,0.7574722
Negative Anticipator,negative,medium,0.14442658,0.0017184193,1.0109861,0.98216563
Critical Evaluator,negative,medium,0.349822,0.010152967,2.448754,0.8635934
Self Demanding,negative,medium,0.38876054,0.012536286,2.7213237,0.8129467
Threat Aware,negative,medium,0.17132472,0.002412132,1.199273,0.97436404
Emotionally Balanced,balanced,medium,0.16980417,0.0023111827,1.1886292,0.9524554
Empathy Driven,balanced,medium,0.43449306,0.015542479,3.0414515,0.6808769
Socially Sensitive,balanced,medium,0.3197598,0.008485839,2.2383184,0.8621408
Cautious Processor,balanced,medium,0.21454154,0.0037825978,1.5017908,0.92540973
Stoic Regulator,suppressive,low,0.15713683,0.0031323396,1.4142314,0.9513876
Calm Reflective,suppressive,low,0.1678537,0.0036306179,1.5106833,0.9417706
Detached Observer,suppressive,low,0.1279825,0.0020506415,1.1518425,0.9663441
Rational Analyzer,suppressive,low,0.096865565,0.0011890056,0.87179005,0.97745186
Emotionally Volatile,reactive,high,0.06688421,0.00044004543,0.6019579,0.110290706
Highly Sensitive,reactive,high,0.24244377,0.006867027,2.181994,0.43941545
Easily Overwhelmed,reactive,high,0.02218052,3.484511e-05,0.19962467,0.026550476
Impulsive Reactor,reactive,high,0.2331423,0.0063606445,2.0982807,0.4433067
Optimistic Interpreter,positive,medium,0.12568724,0.0020477213,1.1311852,0.9865302
Gratitude Focused,positive,medium,0.26881465,0.00940129,2.4193318,0.8955416
Hope Oriented,positive,medium,0.19687264,0.004829459,1.7718537,0.96155053
Reward Seeker,positive,medium,0.3572895,0.016384358,3.2156055,0.7574722
Negative Anticipator,negative,medium,0.13689558,0.0024304427,1.2320602,0.98216563
Critical Evaluator,negative,medium,0.31396878,0.012861405,2.825719,0.8635934
Self Demanding,negative,medium,0.33619368,0.01466498,3.025743,0.8129467
Threat Aware,negative,medium,0.15925856,0.0032555314,1.4333271,0.97436404
Emotionally Balanced,balanced,medium,0.1634917,0.0033590912,1.4714253,0.9524554
Empathy Driven,balanced,medium,0.35147458,0.015544263,3.1632712,0.6808769
Socially Sensitive,balanced,medium,0.28667438,0.0107203415,2.5800693,0.8621408
Cautious Processor,balanced,medium,0.20329407,0.005365586,1.8296466,0.92540973
Stoic Regulator,suppressive,low,0.1599369,0.0026180828,1.2794952,0.9513876
Calm Reflective,suppressive,low,0.17129764,0.0030457044,1.3703811,0.9417706
Detached Observer,suppressive,low,0.13041735,0.0017275463,1.0433388,0.9663441
Rational Analyzer,suppressive,low,0.09920217,0.0010119255,0.79361737,0.97745186
Emotionally Volatile,reactive,high,0.074422024,0.00047790527,0.5953762,0.110290706
Highly Sensitive,reactive,high,0.27303064,0.0073239263,2.184245,0.43941545
Easily Overwhelmed,reactive,high,0.027337598,3.7151665e-05,0.21870078,0.026550476
Impulsive Reactor,reactive,high,0.26253146,0.0067778016,2.1002517,0.4433067
Optimistic Interpreter,positive,medium,0.12762837,0.0017033953,1.021027,0.9865302
Gratitude Focused,positive,medium,0.2800882,0.008227974,2.2407055,0.8955416
Hope Oriented,positive,medium,0.20376992,0.0042229583,1.6301594,0.96155053
Reward Seeker,positive,medium,0.3900645,0.015872452,3.120516,0.7574722
Negative Anticipator,negative,medium,0.14065117,0.0020712367,1.1252093,0.98216563
Critical Evaluator,negative,medium,0.33147746,0.01157555,2.6518197,0.8635934
Self Demanding,negative,medium,0.3613254,0.013713662,2.8906033,0.8129467
Threat Aware,negative,medium,0.16504002,0.00283503,1.3203201,0.97436404
Emotionally Balanced,balanced,medium,0.16661322,0.0028187209,1.3329058,0.9524554
Empathy Driven,balanced,medium,0.38963315,0.015644042,3.1170652,0.6808769
Socially Sensitive,balanced,medium,0.30279547,0.009658589,2.4223638,0.8621408
Cautious Processor,balanced,medium,0.20899287,0.00456773,1.671943,0.92540973
Stoic Regulator,suppressive,low,0.1595618,0.0026063998,1.2764944,0.9513876
Calm Reflective,suppressive,low,0.17084137,0.0030303337,1.3667309,0.9417706
Detached Observer,suppressive,low,0.13016655,0.0017212015,1.0413324,0.9663441
Rational Analyzer,suppressive,low,0.09904299,0.0010088852,0.7923439,0.97745186
Emotionally Volatile,reactive,high,0.07487904,0.00045837404,0.59903234,0.110290706
Highly Sensitive,reactive,high,0.2700792,0.00720795,2.1606336,0.43941545
Easily Overwhelmed,reactive,high,0.031029288,3.315147e-05,0.2482343,0.026550476
Impulsive Reactor,reactive,high,0.25963047,0.006668159,2.0770438,0.4433067
Optimistic Interpreter,positive,medium,0.12759592,0.001702801,1.0207673,0.9865302
Gratitude Focused,positive,medium,0.27920446,0.008179225,2.2336357,0.8955416
Hope Oriented,positive,medium,0.20346189,0.004210888,1.6276951,0.96155053
Reward Seeker,positive,medium,0.3881973,0.015734663,3.1055784,0.7574722
Negative Anticipator,negative,medium,0.14056611,0.0020691454,1.1245289,0.98216563
Critical Evaluator,negative,medium,0.33032,0.011499837,2.64256,0.8635934
Self Demanding,negative,medium,0.35981083,0.01360708,2.8784866,0.8129467
Threat Aware,negative,medium,0.16486387,0.0028295964,1.318911,0.97436404
Emotionally Balanced,balanced,medium,0.16624364,0.0028068055,1.3299491,0.9524554
Empathy Driven,balanced,medium,0.3873709,0.015485747,3.0989673,0.6808769
Socially Sensitive,balanced,medium,0.30165642,0.009590317,2.4132514,0.8621408
Cautious Processor,balanced,medium,0.20839013,0.0045428555,1.667121,0.92540973
Stoic Regulator,suppressive,low,0.16237211,0.0021276409,1.1366048,0.9513876
Calm Reflective,suppressive,low,0.17420249,0.0024780987,1.2194175,0.9417706
Detached Observer,suppressive,low,0.13293515,0.0014223143,0.9305461,0.9663441
Rational Analyzer,suppressive,low,0.101654634,0.0008409726,0.7115824,0.97745186
Emotionally Volatile,reactive,high,0.08637033,0.0005115232,0.60459226,0.110290706
Highly Sensitive,reactive,high,0.31016436,0.007791509,2.1711504,0.43941545
Easily Overwhelmed,reactive,high,0.032544285,3.755112e-05,0.22781,0.026550476
Impulsive Reactor,reactive,high,0.2981988,0.007205572,2.0873916,0.4433067
Optimistic Interpreter,positive,medium,0.12938659,0.001377604,0.9057061,0.9865302
Gratitude Focused,positive,medium,0.29095545,0.0069867363,2.036688,0.8955416
Hope Oriented,positive,medium,0.21155682,0.003622548,1.4808978,0.96155053
Reward Seeker,positive,medium,0.42629576,0.015040906,2.9840703,0.7574722
Negative Anticipator,negative,medium,0.14430146,0.0017161863,1.0101103,0.98216563
Critical Evaluator,negative,medium,0.34916657,0.0101232035,2.444166,0.8635934
Self Demanding,negative,medium,0.3879966,0.012497567,2.7159762,0.8129467
Threat Aware,negative,medium,0.17114022,0.0024080598,1.1979816,0.97436404
Emotionally Balanced,balanced,medium,0.16948952,0.0023038918,1.1864266,0.9524554
Empathy Driven,balanced,medium,0.43362284,0.015489403,3.0353599,0.6808769
Socially Sensitive,balanced,medium,0.3190961,0.008457822,2.2336726,0.8621408
Cautious Processor,balanced,medium,0.21410052,0.0037698823,1.4987037,0.92540973
Stoic Regulator,suppressive,low,0.15731889,0.0031377685,1.41587,0.9513876
Calm Reflective,suppressive,low,0.16807891,0.0036376913,1.5127102,0.9417706
Detached Observer,suppressive,low,0.12810165,0.0020537355,1.1529148,0.9663441
Rational Analyzer,suppressive,low,0.09694315,0.0011905818,0.8724883,0.97745186
Emotionally Volatile,reactive,high,0.07344316,0.00044913474,0.66098845,0.110290706
Highly Sensitive,reactive,high,0.24361624,0.0068908436,2.1925461,0.43941545
Easily Overwhelmed,reactive,high,0.031585135,3.853999e-05,0.2842662,0.026550476
Impulsive Reactor,reactive,high,0.23430859,0.0063831382,2.1087773,0.4433067
Optimistic Interpreter,positive,medium,0.12569135,0.002047661,1.1312222,0.9865302
Gratitude Focused,positive,medium,0.26922625,0.009422017,2.4230363,0.8955416
Hope Oriented,positive,medium,0.19700594,0.004835569,1.7730535,0.96155053
Reward Seeker,positive,medium,0.3581165,0.016431488,3.2230487,0.7574722
Negative Anticipator,negative,medium,0.1369286,0.0024313568,1.2323574,0.98216563
Critical Evaluator,negative,medium,0.31449836,0.012892099,2.8304853,0.8635934
Self Demanding,negative,medium,0.3368811,0.01470509,3.03193,0.8129467
Threat Aware,negative,medium,0.15933612,0.0032583848,1.434025,0.97436404
Emotionally Balanced,balanced,medium,0.16366743,0.0033646524,1.4730068,0.9524554
Empathy Driven,balanced,medium,0.35245013,0.0155910645,3.1720512,0.6808769
Socially Sensitive,balanced,medium,0.28720954,0.010748258,2.5848858,0.8621408
Cautious Processor,balanced,medium,0.20358692,0.0053767497,1.8322823,0.92540973
Stoic Regulator,suppressive,low,0.15978068,0.0026155938,1.2782454,0.9513876
Calm Reflective,suppressive,low,0.1711489,0.003043934,1.3691912,0.9417706
Detached Observer,suppressive,low,0.1302782,0.0017252194,1.0422256,0.9663441
Rational Analyzer,suppressive,low,0.099098444,0.0010104785,0.79278755,0.97745186
Emotionally Volatile,reactive,high,0.07437343,0.0004989181,0.59498745,0.110290706
Highly Sensitive,reactive,high,0.27334112,0.007387417,2.186729,0.43941545
Easily Overwhelmed,reactive,high,0.024335235,4.379082e-05,0.19468188,0.026550476
Impulsive Reactor,reactive,high,0.26287964,0.0068408386,2.103037,0.4433067
Optimistic Interpreter,positive,medium,0.12751609,0.0017007694,1.0201287,0.9865302
Gratitude Focused,positive,medium,0.2798964,0.008227593,2.2391713,0.8955416
Hope Oriented,positive,medium,0.20356227,0.004216533,1.6284982,0.96155053
Reward Seeker,positive,medium,0.3900483,0.015908834,3.1203864,0.7574722
Negative Anticipator,negative,medium,0.14052288,0.002068061,1.124183,0.98216563
Critical Evaluator,negative,medium,0.33130413,0.011580659,2.650433,0.8635934
Self Demanding,negative,medium,0.36124587,0.013734042,2.889967,0.8129467
Threat Aware,negative,medium,0.16488174,0.0028307103,1.3190539,0.97436404
Emotionally Balanced,balanced,medium,0.1664438,0.002815584,1.3315504,0.9524554
Empathy Driven,balanced,medium,0.38969183,0.01569819,3.1175346,0.6808769
Socially Sensitive,balanced,medium,0.302678,0.009666996,2.421424,0.8621408
Cautious Processor,balanced,medium,0.20883088,0.004566268,1.670647,0.92540973
Stoic Regulator,suppressive,low,0.159574,0.0026095845,1.276592,0.9513876
Calm Reflective,suppressive,low,0.17091274,0.0030363367,1.367302,0.9417706
Detached Observer,suppressive,low,0.13012725,0.0017218031,1.041018,0.9663441
Rational Analyzer,suppressive,low,0.09899319,0.0010086753,0.7919455,0.97745186
Emotionally Volatile,reactive,high,0.07280956,0.000474488,0.5824765,0.110290706
Highly Sensitive,reactive,high,0.2715843,0.0073041744,2.1726744,0.43941545
Easily Overwhelmed,reactive,high,0.025492646,3.6643152e-05,0.20394117,0.026550476
Impulsive Reactor,reactive,high,0.26113877,0.0067611802,2.0891101,0.4433067
Optimistic Interpreter,positive,medium,0.12741792,0.0016986796,1.0193434,0.9865302
Gratitude Focused,positive,medium,0.2794791,0.008205835,2.2358327,0.8955416
Hope Oriented,positive,medium,0.20337012,0.004210235,1.626961,0.96155053
Reward Seeker,positive,medium,0.38913906,0.01584266,3.1131124,0.7574722
Negative Anticipator,negative,medium,0.14041063,0.0020654392,1.123285,0.98216563
Critical Evaluator,negative,medium,0.3307665,0.0115474425,2.646132,0.8635934
Self Demanding,negative,medium,0.36053056,0.013685428,2.8842444,0.8129467
Threat Aware,negative,medium,0.16474192,0.0028269296,1.3179353,0.97436404
Emotionally Balanced,balanced,medium,0.16623597,0.002809429,1.3298877,0.9524554
Empathy Driven,balanced,medium,0.3885324,0.015614818,3.1082592,0.6808769
Socially Sensitive,balanced,medium,0.30214635,0.009636324,2.4171708,0.8621408
Cautious Processor,balanced,medium,0.2085333,0.004554535,1.6682664,0.92540973
Stoic Regulator,suppressive,low,0.15979224,0.0026145403,1.278338,0.9513876
Calm Reflective,suppressive,low,0.17111704,0.0030407917,1.3689363,0.9417706
Detached Observer,suppressive,low,0.13032143,0.0017257455,1.0425714,0.9663441
Rational Analyzer,suppressive,low,0.09914052,0.001011089,0.79312414,0.97745186
Emotionally Volatile,reactive,high,0.07080041,0.00041971306,0.56640327,0.110290706
Highly Sensitive,reactive,high,0.26950204,0.0071704574,2.1560163,0.43941545
Easily Overwhelmed,reactive,high,0.027733173,2.1682294e-05,0.22186539,0.026550476
Impulsive Reactor,reactive,high,0.25903413,0.0066315047,2.072273,0.4433067
Optimistic Interpreter,positive,medium,0.12760198,0.0017031177,1.0208158,0.9865302
Gratitude Focused,positive,medium,0.27967376,0.00820897,2.23739,0.8955416
Hope Oriented,positive,medium,0.20364782,0.004219728,1.6291826,0.96155053
Reward Seeker,positive,medium,0.38870475,0.015783802,3.109638,0.7574722
